i,k,r,t,level,marginal,lower,upper,scale
Austria,food_clothing,L,0,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,2,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,3,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,4,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,5,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,6,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,7,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,8,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,9,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,10,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,11,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,12,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,13,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,14,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,15,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,16,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,17,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,18,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,19,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,20,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,21,1.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,22,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,23,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,24,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,25,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,26,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,27,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,28,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,29,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,30,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,31,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,0,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,4,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,5,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,6,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,7,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,8,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,9,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,10,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,11,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,12,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,13,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,14,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,15,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,16,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,17,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,18,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,19,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,20,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,21,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,22,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,23,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,24,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,25,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,26,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,27,0.0,-0.0,0.0,inf,1.0
